summoner_name,champion_name,tags,kills,deaths,assists,lane,team_color,has_won,goldEarned,totalDamageDealtToChampions,totalMinionsKilled,neutralMinionsKilled,items
Dimefact,Blitzcrank,"Tank, Fighter",2,6,3,UTILITY,100,False,6422,6395,36,0,"Solstice Sleigh, Locket of the Iron Solari, Plated Steelcaps, Glacial Buckler, Warden's Mail, Unknown Item, Oracle Lens"
koutaki mpuras,Ornn,"Tank, Fighter",0,3,7,TOP,200,True,7332,10304,147,2,"Doran's Shield, Hollow Radiance, Plated Steelcaps, Ruby Crystal, Negatron Cloak, Unknown Item, Stealth Ward"
Apisteutos,Viego,"Assassin, Fighter",12,2,4,JUNGLE,200,True,11890,17173,15,124,"Control Ward, Unknown Item, Kraken Slayer, Black Cleaver, Death's Dance, Mercury's Treads, Oracle Lens"
PermaBan12,Lissandra,Mage,3,3,12,MIDDLE,200,True,9948,18905,182,5,"Luden's Companion, Zhonya's Hourglass, Amplifying Tome, Doran's Ring, Sorcerer's Shoes, Amplifying Tome, Stealth Ward"
Kazumoo,Lucian,Marksman,9,3,8,BOTTOM,200,True,11400,20777,178,4,"Lord Dominik's Regards, Refillable Potion, Essence Reaver, The Collector, Ionian Boots of Lucidity, Unknown Item, Stealth Ward"
Vonavi,Braum,"Support, Tank",2,3,18,UTILITY,200,True,7712,7943,26,0,"Locket of the Iron Solari, Crystalline Bracer, Plated Steelcaps, Winged Moonplate, Giant's Belt, Celestial Opposition, Oracle Lens"
Wojakoowsky,Aatrox,"Fighter, Tank",8,3,4,TOP,100,True,10787,18153,150,4,"Doran's Blade, Eclipse, Profane Hydra, Mercury's Treads, Last Whisper, Pickaxe, Stealth Ward"
JuanPablo2th,JarvanIV,"Tank, Fighter",4,5,19,JUNGLE,100,True,8374,9009,10,67,"Mosstomper Seedling, Eclipse, Unknown Item, Tunneler, Caulfield's Warhammer, Mercury's Treads, Oracle Lens"
NieMamNaToCheci ,Akali,Assassin,3,5,5,MIDDLE,100,True,7394,9942,109,0,"Sorcerer's Shoes, Hextech Rocketbelt, Dark Seal, Needlessly Large Rod, Amplifying Tome, Unknown Item, Stealth Ward"
InsaneNERD,Draven,Marksman,19,5,6,BOTTOM,100,True,15410,35962,164,0,"Doran's Blade, Bloodthirster, Berserker's Greaves, Infinity Edge, Lord Dominik's Regards, Immortal Shieldbow, Farsight Alteration"
Vickycx,Janna,"Support, Mage",3,1,23,UTILITY,100,True,8191,10960,24,0,"Dream Maker, Echoes of Helia, Mejai's Soulstealer, Boots of Swiftness, Imperial Mandate, Unknown Item, Oracle Lens"
Bauti,Ornn,"Tank, Fighter",3,5,6,TOP,200,False,6585,12623,93,4,"Sunfire Aegis, Bramble Vest, Plated Steelcaps, Tear of the Goddess, Kindlegem, Ruby Crystal, Stealth Ward"
ATP Daweri,Ekko,"Assassin, Fighter",3,8,2,JUNGLE,200,False,7128,6194,8,86,"Scorchclaw Pup, Lich Bane, Sorcerer's Shoes, Blasting Wand, Amplifying Tome, Recurve Bow, Stealth Ward"
KieröwcäFäkeTäxi,Fizz,"Assassin, Fighter",5,9,2,MIDDLE,200,False,6687,10387,70,0,"Doran's Ring, Sorcerer's Shoes, Lich Bane, Seeker's Armguard, Unknown Item, Unknown Item, Stealth Ward"
Kazumoo,KogMaw,"Marksman, Mage",7,11,2,BOTTOM,200,False,8474,14834,68,0,"Doran's Blade, Refillable Potion, Blade of The Ruined King, Guinsoo's Rageblade, Berserker's Greaves, Unknown Item, Stealth Ward"
Vonavi,Lulu,"Support, Mage",1,4,10,UTILITY,200,False,5687,5040,10,0,"Dream Maker, Shurelya's Battlesong, Ionian Boots of Lucidity, Kindlegem, Faerie Charm, Glowing Mote, Oracle Lens"
TopLaneKitten,Mordekaiser,Fighter,14,5,9,TOP,100,True,13702,42531,133,8,"Jak'Sho, The Protean, Plated Steelcaps, Liandry's Torment, Rylai's Crystal Scepter, Riftmaker, Unknown Item, Stealth Ward"
Srungling,Rengar,"Assassin, Fighter",9,6,10,JUNGLE,100,True,13725,21384,42,174,"Eclipse, Mercury's Treads, Ravenous Hydra, Black Cleaver, Caulfield's Warhammer, Steel Sigil, Oracle Lens"
ROAD TO D4 ASAP,Irelia,"Fighter, Assassin",13,11,3,MIDDLE,100,True,15638,37340,230,8,"Kraken Slayer, Blade of The Ruined King, Mercury's Treads, Wit's End, Death's Dance, Steel Sigil, Farsight Alteration"
Woltimor,Aphelios,Marksman,13,9,9,BOTTOM,100,True,13660,37431,160,20,"Doran's Blade, Infinity Edge, The Collector, Berserker's Greaves, Lord Dominik's Regards, Vampiric Scepter, Farsight Alteration"
skυ,Senna,"Marksman, Support",4,3,30,UTILITY,100,True,11506,26611,35,0,"Bloodsong, Boots of Swiftness, Black Cleaver, Executioner's Calling, Rapid Firecannon, Serrated Dirk, Oracle Lens"
Maciuś2013PL,Darius,"Fighter, Tank",13,13,4,TOP,200,False,13295,38794,169,0,"Boots of Swiftness, Sterak's Gage, Stridebreaker, Death's Dance, Doran's Shield, Winged Moonplate, Stealth Ward"
korro90,Rammus,"Tank, Fighter",7,11,16,JUNGLE,200,False,12070,32652,52,102,"Jak'Sho, The Protean, Sunfire Aegis, Chain Vest, Winged Moonplate, Thornmail, Plated Steelcaps, Oracle Lens"
NoName1,Diana,"Fighter, Mage",5,10,7,MIDDLE,200,False,11634,21370,213,0,"Lich Bane, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Unknown Item, Unknown Item, Stealth Ward"
Senjuuu,Swain,"Mage, Fighter",4,11,10,BOTTOM,200,False,12605,27714,218,0,"Plated Steelcaps, Cosmic Drive, Blackfire Torch, Void Staff, Ruby Crystal, Dark Seal, Farsight Alteration"
NoName2,Nami,"Support, Mage",5,8,22,UTILITY,200,False,9487,15354,31,0,"Dream Maker, Shurelya's Battlesong, Ionian Boots of Lucidity, Imperial Mandate, Morellonomicon, Unknown Item, Oracle Lens"
benjifishi,TahmKench,"Tank, Support",13,1,13,TOP,100,True,14792,37735,171,0,"Sunfire Aegis, Heartsteel, Plated Steelcaps, Thornmail, Kindlegem, Chain Vest, Stealth Ward"
David24010,Kayn,"Fighter, Assassin",11,3,9,JUNGLE,100,True,13155,28841,25,159,"Black Cleaver, Eclipse, Mercury's Treads, Spear of Shojin, Pickaxe, Caulfield's Warhammer, Stealth Ward"
Blow Time,Malzahar,Mage,9,4,6,MIDDLE,100,True,14545,28948,259,0,"Doran's Ring, Blackfire Torch, Rylai's Crystal Scepter, Liandry's Torment, Rabadon's Deathcap, Sorcerer's Shoes, Stealth Ward"
Szymosek1,Nautilus,"Tank, Support",5,7,14,UTILITY,100,True,9308,13370,36,0,"Celestial Opposition, Plated Steelcaps, Locket of the Iron Solari, Thornmail, Sunfire Aegis, Unknown Item, Oracle Lens"
ruvhanie,Caitlyn,Marksman,2,13,11,BOTTOM,100,True,9145,18180,143,0,"Infinity Edge, Long Sword, The Collector, Boots of Swiftness, Doran's Blade, Cloak of Agility, Stealth Ward"
Srakus,Mordekaiser,"Fighter, Mage",4,9,2,TOP,200,False,9112,27407,152,0,"Rylai's Crystal Scepter, Mercury's Treads, Liandry's Torment, Doran's Ring, Haunting Guise, Unknown Item, Stealth Ward"
ToxicAF1,Katarina,"Assassin, Mage",12,6,6,JUNGLE,200,False,11737,21752,57,100,"Titanic Hydra, Blade of The Ruined King, Kraken Slayer, Plated Steelcaps, Unknown Item, Unknown Item, Stealth Ward"
w0jta101,Aurora,"Mage, Assassin",1,8,3,MIDDLE,200,False,8490,18533,189,0,"Boots of Swiftness, Cosmic Drive, Liandry's Torment, Control Ward, Amplifying Tome, Unknown Item, Farsight Alteration"
ADC S0 WEAK,Yasuo,"Fighter, Assassin",8,8,8,BOTTOM,200,False,10943,23667,155,8,"Blade of The Ruined King, Berserker's Greaves, Infinity Edge, Rectrix, Hearthbound Axe, Dagger, Stealth Ward"
Franieek0,Alistar,"Tank, Support",3,9,16,UTILITY,200,False,7798,12637,12,0,"Solstice Sleigh, Locket of the Iron Solari, Knight's Vow, Cloth Armor, Boots of Swiftness, Cloth Armor, Oracle Lens"
PotatoXXL,Camille,"Fighter, Assassin",4,11,8,TOP,100,False,13877,26019,188,4,"Ravenous Hydra, Trinity Force, Death's Dance, Negatron Cloak, Recurve Bow, Plated Steelcaps, Farsight Alteration"
Tilveran,Zac,"Tank, Fighter",6,8,10,JUNGLE,100,False,13205,19961,23,152,"Spirit Visage, Sunfire Aegis, Knight's Vow, Control Ward, Plated Steelcaps, Liandry's Torment, Oracle Lens"
I W À Y,Ahri,"Mage, Assassin",8,7,12,MIDDLE,100,False,15284,38022,222,0,"Stormsurge, Malignance, Sorcerer's Shoes, Horizon Focus, Rabadon's Deathcap, Control Ward, Oracle Lens"
,Samira,"Marksman, Assassin",25,11,10,BOTTOM,100,False,22695,68130,256,22,"Bloodthirster, The Collector, Immortal Shieldbow, Infinity Edge, Plated Steelcaps, Mortal Reminder, Farsight Alteration"
1XaNaX1AbuSeR1,Pantheon,"Fighter, Assassin",7,10,15,UTILITY,100,False,12428,31163,70,4,"Bloodsong, Eclipse, Plated Steelcaps, Black Cleaver, Sundered Sky, Tunneler, Oracle Lens"
Gholdengo,Volibear,"Fighter, Tank",14,8,10,TOP,200,True,18130,47717,229,0,"Spirit Visage, Navori Flickerblade, Fimbulwinter, Thornmail, Unending Despair, Rod of Ages, Stealth Ward"
Hi Im Dziko,Rengar,"Assassin, Fighter",13,9,7,JUNGLE,200,True,15032,24050,41,158,"Ionian Boots of Lucidity, Hubris, Serylda's Grudge, Opportunity, The Collector, Tiamat, Oracle Lens"
TanChi,Azir,"Mage, Marksman",6,7,11,MIDDLE,200,True,17558,46165,328,4,"Rabadon's Deathcap, Nashor's Tooth, Liandry's Torment, Sorcerer's Shoes, Oblivion Orb, Void Staff, Farsight Alteration"
Movement Rudego,Jhin,"Marksman, Mage",11,13,17,BOTTOM,200,True,15747,34500,214,9,"Statikk Shiv, The Collector, Rapid Firecannon, Infinity Edge, Boots of Swiftness, Cloak of Agility, Farsight Alteration"
Vsapnovy,Lulu,"Support, Mage",3,13,23,UTILITY,200,True,11388,13875,28,0,"Ionian Boots of Lucidity, Redemption, Dream Maker, Moonstone Renewer, Frozen Heart, Watchful Wardstone, Oracle Lens"
xCarryTheGamex,Olaf,"Fighter, Tank",2,7,4,TOP,100,False,8131,19062,148,4,"Sundered Sky, Death's Dance, Plated Steelcaps, Unknown Item, Unknown Item, Unknown Item, Farsight Alteration"
CALL ME MISO,Shaco,Assassin,3,5,5,JUNGLE,100,False,7824,11303,21,104,"The Collector, Youmuu's Ghostblade, Cloak of Agility, Long Sword, Boots, Unknown Item, Stealth Ward"
TanChi,Azir,"Mage, Marksman",3,6,2,MIDDLE,100,False,9891,15138,199,4,"Doran's Ring, Nashor's Tooth, Liandry's Torment, Sorcerer's Shoes, Needlessly Large Rod, Unknown Item, Farsight Alteration"
Meliom,Samira,"Marksman, Assassin",5,11,3,BOTTOM,100,False,9153,15757,143,0,"Infinity Edge, The Collector, Plated Steelcaps, Cloak of Agility, Unknown Item, Unknown Item, Stealth Ward"
Xathiel,Lux,"Mage, Support",1,6,7,UTILITY,100,False,6008,15118,40,0,"Zaz'Zak's Realmspike, Luden's Companion, Dark Seal, Sorcerer's Shoes, Unknown Item, Unknown Item, Oracle Lens"
Nitoryu Rashomon,Yorick,"Fighter, Tank",6,2,6,TOP,200,True,12223,18204,189,8,"Pickaxe, Hullbreaker, Sundered Sky, Tunneler, Ruby Crystal, Plated Steelcaps, Stealth Ward"
Moekuxa,Belveth,Fighter,12,2,12,JUNGLE,200,True,13483,19303,40,154,"Blade of The Ruined King, Plated Steelcaps, Steel Sigil, Kraken Slayer, Pickaxe, Caulfield's Warhammer, Oracle Lens"
13LaCoja12,Veigar,Mage,6,3,9,MIDDLE,200,True,10565,17128,183,0,"Doran's Ring, Seraph's Embrace, Needlessly Large Rod, Sorcerer's Shoes, Rod of Ages, Needlessly Large Rod, Farsight Alteration"
,Ezreal,"Marksman, Mage",9,5,12,BOTTOM,200,True,11088,22861,149,4,"Doran's Blade, Muramana, Refillable Potion, Tunneler, Ionian Boots of Lucidity, Trinity Force, Farsight Alteration"
Turbo Tractor,Leona,"Tank, Support",2,2,20,UTILITY,200,True,8296,6844,29,0,"Plated Steelcaps, Celestial Opposition, Zeke's Convergence, Bami's Cinder, Unknown Item, Locket of the Iron Solari, Oracle Lens"
legojanek2004,Singed,"Tank, Mage",12,2,16,TOP,100,True,18421,40557,250,6,"Rylai's Crystal Scepter, Jak'Sho, The Protean, Boots of Swiftness, Liandry's Torment, Mejai's Soulstealer, Force of Nature, Stealth Ward"
3x 835lp ,XinZhao,"Fighter, Tank",11,7,7,JUNGLE,100,True,15686,29119,62,216,"Youmuu's Ghostblade, Infinity Edge, Synchronized Souls, Mortal Reminder, The Collector, Cloak of Agility, Oracle Lens"
,Qiyana,Assassin,13,3,5,MIDDLE,100,True,16041,32194,251,52,"Youmuu's Ghostblade, Profane Hydra, Ionian Boots of Lucidity, Serylda's Grudge, Serpent's Fang, Serrated Dirk, Oracle Lens"
I lost Isolde,Ashe,"Marksman, Support",9,4,10,BOTTOM,100,True,13450,32912,205,16,"Bloodthirster, Berserker's Greaves, Kraken Slayer, Phantom Dancer, Steel Sigil, B. F. Sword, Farsight Alteration"
Edoardooo,Braum,"Tank, Support",2,5,21,UTILITY,100,True,8470,12830,22,0,"Solstice Sleigh, Locket of the Iron Solari, Frozen Heart, Plated Steelcaps, Control Ward, Kindlegem, Oracle Lens"
RubeX2x,Renekton,"Fighter, Tank",1,13,0,TOP,200,False,11045,17310,224,12,"Doran's Blade, Boots of Swiftness, Ravenous Hydra, Black Cleaver, Spear of Shojin, Unknown Item, Stealth Ward"
CΒum,Warwick,"Fighter, Tank",3,13,6,JUNGLE,200,False,9511,12812,7,108,"Plated Steelcaps, Trinity Force, Terminus, Unknown Item, Null-Magic Mantle, Unknown Item, Oracle Lens"
TanChi,Azir,"Mage, Marksman",8,8,6,MIDDLE,200,False,16768,34625,278,4,"Rabadon's Deathcap, Zhonya's Hourglass, Plated Steelcaps, Liandry's Torment, Nashor's Tooth, Blighting Jewel, Farsight Alteration"
K1teMachine,Smolder,"Marksman, Mage",6,7,7,BOTTOM,200,False,14245,27897,271,0,"Trinity Force, Ionian Boots of Lucidity, Doran's Blade, Spear of Shojin, Rapid Firecannon, Lord Dominik's Regards, Farsight Alteration"
Superrrman,Janna,"Support, Mage",2,6,13,UTILITY,200,False,9557,13199,24,0,"Forbidden Idol, Ardent Censer, Dream Maker, Moonstone Renewer, Dawncore, Boots of Swiftness, Oracle Lens"
EUNE XDXDSDASSDX,Varus,"Marksman, Mage",6,10,4,TOP,100,False,12843,23562,221,11,"Wit's End, Experimental Hexplate, Terminus, Mercury's Treads, Recurve Bow, Blasting Wand, Farsight Alteration"
kiana mono,Evelynn,"Assassin, Mage",11,3,5,JUNGLE,100,False,12036,20789,10,156,"Stormsurge, Mejai's Soulstealer, Control Ward, Lich Bane, Sorcerer's Shoes, Verdant Barrier, Farsight Alteration"
Bοgdan,Syndra,Mage,5,7,4,MIDDLE,100,False,13418,17996,232,2,"Shattered Armguard, Rabadon's Deathcap, Sorcerer's Shoes, Luden's Companion, Stormsurge, Unknown Item, Oracle Lens"
Captain Mav,Ashe,"Marksman, Support",4,6,8,BOTTOM,100,False,11416,19791,206,12,"Doran's Blade, Kraken Slayer, Runaan's Hurricane, Statikk Shiv, Berserker's Greaves, Dagger, Stealth Ward"
YassouT157,Milio,"Support, Mage",1,6,17,UTILITY,100,False,7954,5782,22,0,"Zaz'Zak's Realmspike, Redemption, Echoes of Helia, Amplifying Tome, Dark Seal, Ionian Boots of Lucidity, Oracle Lens"
,Teemo,"Marksman, Mage",3,11,7,TOP,200,True,10566,27573,143,2,"Doran's Ring, Liandry's Torment, Malignance, Mercury's Treads, Blighting Jewel, Fiendish Codex, Stealth Ward"
TheBeastKid,Belveth,Fighter,10,6,5,JUNGLE,200,True,16107,13201,63,146,"Jak'Sho, The Protean, Kraken Slayer, Mercury's Treads, Blade of The Ruined King, Steel Sigil, Caulfield's Warhammer, Stealth Ward"
TanChi,Azir,"Mage, Marksman",8,2,6,MIDDLE,200,True,14592,18809,224,8,"Doran's Ring, Zhonya's Hourglass, Mercury's Treads, Nashor's Tooth, Rabadon's Deathcap, Unknown Item, Farsight Alteration"
LewyLev,Jinx,Marksman,5,4,9,BOTTOM,200,True,13948,15036,235,22,"Yun Tal Wildarrows, Infinity Edge, Runaan's Hurricane, Berserker's Greaves, Control Ward, Long Sword, Farsight Alteration"
IridiumX,Pyke,"Support, Assassin",6,4,7,UTILITY,200,True,9651,13600,58,4,"Umbral Glaive, Synchronized Souls, Edge of Night, Serrated Dirk, Bloodsong, Rectrix, Oracle Lens"
TanChi,Yone,"Fighter, Assassin",19,12,19,,100,True,13827,31883,42,0,"Berserker's Greaves, Stridebreaker, Immortal Shieldbow, B. F. Sword, Blade of The Ruined King, Pickaxe, Poro-Snax"
ΛSHE,Ziggs,Mage,12,8,32,,100,True,13255,32366,56,0,"Blackfire Torch, Needlessly Large Rod, Sorcerer's Shoes, Liandry's Torment, Luden's Companion, Hextech Alternator, Unknown Item"
Kamchi,Rammus,Tank,7,9,29,,100,True,12127,20948,15,0,"Thornmail, Sorcerer's Shoes, Warmog's Armor, Heartsteel, Negatron Cloak, Ruby Crystal, Poro-Snax"
,Ryze,Mage,13,11,21,,100,True,13089,26323,73,0,"Rod of Ages, Seraph's Embrace, Needlessly Large Rod, Sorcerer's Shoes, Frozen Heart, Needlessly Large Rod, Poro-Snax"
,Viktor,Mage,13,11,30,,100,True,13334,31096,30,0,"Luden's Companion, Sorcerer's Shoes, Lich Bane, Shadowflame, Needlessly Large Rod, Needlessly Large Rod, Poro-Snax"
